Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides shControl_CTRL_bR1	Peptides shControl_CTRL_bR2	Peptides shControl_CTRL_bR3	Peptides shControl_EGF_bR1	Peptides shControl_EGF_bR2	Peptides shControl_EGF_bR3	Peptides shTMEM_CTRL_bR1	Peptides shTMEM_CTRL_bR2	Peptides shTMEM_CTRL_bR3	Peptides shTMEM_EGF_bR1	Peptides shTMEM_EGF_bR2	Peptides shTMEM_EGF_bR3	Razor + unique peptides shControl_CTRL_bR1	Razor + unique peptides shControl_CTRL_bR2	Razor + unique peptides shControl_CTRL_bR3	Razor + unique peptides shControl_EGF_bR1	Razor + unique peptides shControl_EGF_bR2	Razor + unique peptides shControl_EGF_bR3	Razor + unique peptides shTMEM_CTRL_bR1	Razor + unique peptides shTMEM_CTRL_bR2	Razor + unique peptides shTMEM_CTRL_bR3	Razor + unique peptides shTMEM_EGF_bR1	Razor + unique peptides shTMEM_EGF_bR2	Razor + unique peptides shTMEM_EGF_bR3	Unique peptides shControl_CTRL_bR1	Unique peptides shControl_CTRL_bR2	Unique peptides shControl_CTRL_bR3	Unique peptides shControl_EGF_bR1	Unique peptides shControl_EGF_bR2	Unique peptides shControl_EGF_bR3	Unique peptides shTMEM_CTRL_bR1	Unique peptides shTMEM_CTRL_bR2	Unique peptides shTMEM_CTRL_bR3	Unique peptides shTMEM_EGF_bR1	Unique peptides shTMEM_EGF_bR2	Unique peptides shTMEM_EGF_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type shControl_CTRL_bR1	Identification type shControl_CTRL_bR2	Identification type shControl_CTRL_bR3	Identification type shControl_EGF_bR1	Identification type shControl_EGF_bR2	Identification type shControl_EGF_bR3	Identification type shTMEM_CTRL_bR1	Identification type shTMEM_CTRL_bR2	Identification type shTMEM_CTRL_bR3	Identification type shTMEM_EGF_bR1	Identification type shTMEM_EGF_bR2	Identification type shTMEM_EGF_bR3	Sequence coverage shControl_CTRL_bR1 [%]	Sequence coverage shControl_CTRL_bR2 [%]	Sequence coverage shControl_CTRL_bR3 [%]	Sequence coverage shControl_EGF_bR1 [%]	Sequence coverage shControl_EGF_bR2 [%]	Sequence coverage shControl_EGF_bR3 [%]	Sequence coverage shTMEM_CTRL_bR1 [%]	Sequence coverage shTMEM_CTRL_bR2 [%]	Sequence coverage shTMEM_CTRL_bR3 [%]	Sequence coverage shTMEM_EGF_bR1 [%]	Sequence coverage shTMEM_EGF_bR2 [%]	Sequence coverage shTMEM_EGF_bR3 [%]	Intensity	Intensity shControl_CTRL_bR1	Intensity shControl_CTRL_bR2	Intensity shControl_CTRL_bR3	Intensity shControl_EGF_bR1	Intensity shControl_EGF_bR2	Intensity shControl_EGF_bR3	Intensity shTMEM_CTRL_bR1	Intensity shTMEM_CTRL_bR2	Intensity shTMEM_CTRL_bR3	Intensity shTMEM_EGF_bR1	Intensity shTMEM_EGF_bR2	Intensity shTMEM_EGF_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Phospho (STY) site IDs	Oxidation (M) site positions	Phospho (STY) site positions
A1L170	A1L170	3	3	3	Uncharacterized protein C1orf226	C1orf226	>sp|A1L170|CA226_HUMAN Uncharacterized protein C1orf226 OS=Homo sapiens OX=9606 GN=C1orf226 PE=1 SV=1	1	3	3	3	1	3	1	2	3	2	2	3	2	2	2	3	1	3	1	2	3	2	2	3	2	2	2	3	1	3	1	2	3	2	2	3	2	2	2	3	11.8	11.8	11.8	29.057	272	272	0	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.7	11.8	8.1	3.7	11.8	11.4	3.7	11.8	11.8	3.7	11.8	11.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0				10	956;5720;7278	True;True;True	1088;6429;8253;8254	8601;8602;8603;8604;8605;8606;8607;8608;48607;48608;48609;48610;48611;48612;48613;48614;48615;48616;48617;48618;48619;48620;48621;48622;61253;61254;61255;61256;61257;61258;61259;61260;61261;61262;61263;61264;61265	6080;6081;6082;6083;6084;6085;6086;6087;6088;6089;34465;34466;34467;34468;34469;34470;34471;34472;34473;42898;42899;42900;42901;42902;42903;42904;42905;42906	6084;34466;42900		25;26;27;28;29		222;223;240;244;249
A1L390	A1L390	8	8	8	Pleckstrin homology domain-containing family G member 3	PLEKHG3	>sp|A1L390|PKHG3_HUMAN Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1	1	8	8	8	5	2	6	6	5	3	3	5	4	4	3	5	5	2	6	6	5	3	3	5	4	4	3	5	5	2	6	6	5	3	3	5	4	4	3	5	7.2	7.2	7.2	134.41	1219	1219	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	4.8	1.8	5.4	6.1	4.6	3	2.9	4.2	3.4	4	3	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0				11	1112;1369;3531;6776;7345;7681;8431;8908	True;True;True;True;True;True;True;True	1272;1558;3953;7685;8330;8720;9600;10145	10041;10042;10043;10044;10045;10046;10047;12178;12179;12180;12181;12182;30098;30099;30100;30101;30102;30103;30104;30105;30106;30107;30108;57582;57583;57584;57585;57586;57587;57588;61938;61939;61940;61941;61942;61943;65148;65149;72301;72302;72303;72304;76707;76708;76709;76710;76711;76712;76713;76714;76715	6975;6976;6977;6978;6979;6980;6981;9213;21054;21055;21056;21057;21058;21059;21060;39934;39935;39936;43370;43371;45956;51186;54147;54148	6976;9213;21056;39935;43370;45956;51186;54148		30;31;32;33;34;35;36;37;8783		76;432;433;741;962;1037;1040;1042;1081
A2AJT9	A2AJT9	2	2	2	Uncharacterized protein CXorf23	CXorf23	>sp|A2AJT9|BCLA3_HUMAN BCLAF1 and THRAP3 family member 3 OS=Homo sapiens OX=9606 GN=BCLAF3 PE=1 SV=1	1	2	2	2	0	1	2	0	1	0	0	1	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	2.5	2.5	2.5	83.87	711	711	0	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0	1.3	2.5	0	1.3	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				12	3971;7391	True;True	4448;8383	33442;33443;62425;62426;62427	23648;43735	23648;43735		38;39;40		15;17;192
A2RUS2	A2RUS2	1	1	1	DENN domain-containing protein 3	DENND3	>sp|A2RUS2|DEND3_HUMAN DENN domain-containing protein 3 OS=Homo sapiens OX=9606 GN=DENND3 PE=1 SV=2	1	1	1	1	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1.6	1.6	1.6	135.89	1198	1198	0	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	0	1.6	1.6	0	1.6	1.6	0	0	0	0	1.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				13	6150	True	6999	52796;52797;52798;52799;52800	36980;36981;36982	36981		41		472
A2VCK2	A2VCK2	1	1	1	Doublecortin domain-containing protein 2B	DCDC2B	>sp|A2VCK2|DCD2B_HUMAN Doublecortin domain-containing protein 2B OS=Homo sapiens OX=9606 GN=DCDC2B PE=1 SV=1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	3.4	3.4	3.4	37.664	349	349	0.0054715	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	3.4	3.4	0	3.4	3.4	0	3.4	3.4	3.4	3.4	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				14	9122	True	10385	78692;78693;78694;78695;78696;78697;78698;78699;78700	55584	55584		42		232
A2VEC9	A2VEC9	1	1	1	SCO-spondin	SSPO	>sp|A2VEC9|SSPO_HUMAN SCO-spondin OS=Homo sapiens OX=9606 GN=SSPO PE=2 SV=2	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0.2	0.2	0.2	547.84	5150	5150	1	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0.2	0.2	0.2	0	0.2	0.2	0	0.2	0.2	0.2	0.2	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			15	11617	True	13177	100960;100961;100962;100963;100964;100965;100966;100967;100968;100969	70944;70945	70945		8784		539
A3KN83	A3KN83	2	2	2	Protein strawberry notch homolog 1	SBNO1	>sp|A3KN83|SBNO1_HUMAN Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	1	2	2	2	2	1	1	1	2	0	1	1	0	2	2	0	2	1	1	1	2	0	1	1	0	2	2	0	2	1	1	1	2	0	1	1	0	2	2	0	3.2	3.2	3.2	154.31	1393	1393	0	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	3.2	2.7	0.5	0.5	3.2	0	0.5	0.5	0	3.2	3.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				16	7638;8274	True;True	8673;9411	64791;64792;64793;64794;64795;70795;70796;70797;70798;70799;70800;70801;70802	45646;45647;45648;50171;50172;50173;50174;50175	45648;50172		43;44		214;815
A4D2P6	A4D2P6	1	1	1	Delphilin	GRID2IP	>sp|A4D2P6|GRD2I_HUMAN Delphilin OS=Homo sapiens OX=9606 GN=GRID2IP PE=3 SV=2	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0.6	0.6	0.6	132.27	1211	1211	1	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	0.6	0.6	0.6	0	0.6	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+			17	5727	True	6436	48665;48666;48667;48668;48669	34499	34499		45		913
A5YM69	A5YM69	2	2	2	Rho guanine nucleotide exchange factor 35	ARHGEF35	>sp|A5YM69|ARG35_HUMAN Rho guanine nucleotide exchange factor 35 OS=Homo sapiens OX=9606 GN=ARHGEF35 PE=1 SV=1	1	2	2	2	2	1	1	1	2	1	0	2	0	1	1	1	2	1	1	1	2	1	0	2	0	1	1	1	2	1	1	1	2	1	0	2	0	1	1	1	8.5	8.5	8.5	53.286	484	484	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	8.5	5	5	3.5	8.5	3.5	0	8.5	0	5	3.5	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0				18	250;11627	True;True	286;13188	2249;2250;2251;2252;2253;2254;2255;2256;2257;2258;2259;101041;101042;101043;101044;101045;101046	1505;1506;1507;1508;70992;70993;70994;70995;70996;70997	1508;70994		46;47		184;450
A6ND36	A6ND36	4	4	4	Protein FAM83G	FAM83G	>sp|A6ND36|FA83G_HUMAN Protein FAM83G OS=Homo sapiens OX=9606 GN=FAM83G PE=1 SV=2	1	4	4	4	2	4	3	0	2	1	1	3	3	1	0	2	2	4	3	0	2	1	1	3	3	1	0	2	2	4	3	0	2	1	1	3	3	1	0	2	6	6	6	90.834	823	823	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	2.9	6	4.9	0	3	1.8	1.1	4.1	4.9	1.1	0	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0				19	338;516;7017;7417	True;True;True;True	385;587;7956;8414	3039;3040;3041;3042;3043;4722;4723;4724;4725;4726;4727;4728;59327;59328;59329;59330;59331;62700;62701;62702;62703;62704	2048;2049;3326;3327;3328;3329;41383;41384;43939	2048;3326;41383;43939		48;49;50;51		4;356;634;650
A6NFI3	A6NFI3	3	3	3	Zinc finger protein 316	ZNF316	>sp|A6NFI3|ZN316_HUMAN Zinc finger protein 316 OS=Homo sapiens OX=9606 GN=ZNF316 PE=1 SV=1	1	3	3	3	2	1	1	1	2	2	2	2	3	1	2	2	2	1	1	1	2	2	2	2	3	1	2	2	2	1	1	1	2	2	2	2	3	1	2	2	4.1	4.1	4.1	108.44	1004	1004	0	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	2.9	1.6	1.6	1.3	2.8	2.8	2.9	2.8	4.1	1.3	2.8	2.8	2165100	398230	0	0	362410	0	0	827800	0	93560	483140	0	0	2				20	72;2038;3284	True;True;True	86;2296;3675	638;639;640;641;642;643;644;645;646;647;648;649;650;651;652;653;654;17846;17847;17848;17849;17850;27966;27967;27968;27969;27970;27971	434;435;436;437;438;439;440;441;442;443;444;445;446;447;448;12779;12780;19430;19431	441;12779;19430		52;53;8785;8786		6;7;10;112
P30046;A6NHG4	P30046;A6NHG4	2;2	2;2	2;2	D-dopachrome decarboxylase;D-dopachrome decarboxylase-like protein	DDT;DDTL	>sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3;>sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1	2	2	2	2	0	0	0	0	0	2	0	1	2	0	2	2	0	0	0	0	0	2	0	1	2	0	2	2	0	0	0	0	0	2	0	1	2	0	2	2	23.7	23.7	23.7	12.712	118	118;134	0	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	0	0	0	0	0	23.7	0	12.7	23.7	0	23.7	23.7	8249700	0	0	0	0	0	2711900	0	2470700	804570	0	892000	1370500	1				21	5065;6694	True;True	5689;7597	43123;43124;43125;43126;43127;56988;56989;56990;56991	30546;39544	30546;39544				
